Date,District,Time,CO,FSP,NO2,NOX,O3,RSP,SO2
20200128,Tap Mun,9,80,8,3,5,52,12,8
20200129,Tap Mun,9,92,17,3,5,71,2,8
20200130,Tap Mun,9,76,2,3,5,84,2,9
20200131,Tap Mun,9,74,2,3,5,88,3,9
20200101,Tseung Kwan ,9,73,12,2,2,61,2,3
20200102,Tseung Kwan ,9,58,13,18,2,72,2,2
20200103,Tseung Kwan ,9,58,16,2,2,72,2,4
20200104,Tseung Kwan ,9,56,2,3,41,68,3,2
20200105,Tseung Kwan ,9,45,9,12,18,80,16,2
20200106,Tseung Kwan ,9,55,6,2,3,66,2,2
20200107,Tseung Kwan ,9,91,16,69,13,15,2,3
20200108,Tseung Kwan ,9,62,19,2,3,47,42,4
20200109,Tseung Kwan ,9,86,2,15,2,105,42,2
20200110,Tseung Kwan ,9,84,2,2,3,98,43,4
20200111,Tseung Kwan ,9,67,2,2,2,82,3,2
20200112,Tseung Kwan ,9,93,6,2,3,3,18,3
20200113,Tseung Kwan ,9,89,8,3,44,2,3,3
20200114,Tseung Kwan ,9,69,3,2,2,87,47,3
20200115,Tseung Kwan ,9,58,2,2,2,85,3,2
20200116,Tseung Kwan ,9,66,3,2,3,70,47,2
20200117,Tseung Kwan ,9,94,9,3,43,2,2,2
20200118,Tseung Kwan ,9,97,8,3,43,2,3,3
20200119,Tseung Kwan ,9,82,10,18,2,45,19,1
20200120,Tseung Kwan ,9,88,10,3,44,3,13,2
20200121,Tseung Kwan ,9,83,2,2,3,88,3,0
20200122,Tseung Kwan ,9,76,3,3,3,86,40,1
20200123,Tseung Kwan ,9,69,2,2,3,70,42,0
20200124,Tseung Kwan ,9,56,18,13,18,65,2,0
20200125,Tseung Kwan ,9,53,13,12,19,71,18,0
20200126,Tseung Kwan ,9,82,NaN,14,2,18,NaN,0
20200127,Tseung Kwan ,9,80,0,15,2,42,6,0
20200128,Tseung Kwan ,9,64,5,18,2,43,9,0
20200129,Tseung Kwan ,9,66,16,9,14,71,18,0
20200130,Tseung Kwan ,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200131,Tseung Kwan ,9,62,2,17,2,78,2,2
20200101,Tsuen Wan,9,97,19,41,51,3,2,0
20200102,Tsuen Wan,9,82,17,68,93,2,2,0
20200103,Tsuen Wan,9,90,13,74,106,2,2,1
20200104,Tsuen Wan,9,85,2,77,117,13,3,2
20200105,Tsuen Wan,9,69,13,3,46,52,18,0
20200106,Tsuen Wan,9,86,5,80,12,3,13,2
20200107,Tsuen Wan,9,111,17,90,2,4,2,NaN
20200108,Tsuen Wan,9,96,19,63,95,2,3,5
20200109,Tsuen Wan,9,112,18,54,64,61,3,3
20200110,Tsuen Wan,9,117,2,74,91,42,3,3
20200111,Tsuen Wan,9,100,15,71,96,2,2,3
20200112,Tsuen Wan,9,119,8,44,60,15,17,3
20200113,Tsuen Wan,9,12,2,60,102,12,3,3
20200114,Tsuen Wan,9,91,2,55,70,51,42,6
20200115,Tsuen Wan,9,67,2,45,59,54,42,5
20200116,Tsuen Wan,9,78,3,42,52,46,41,4
20200117,Tsuen Wan,9,99,16,47,87,9,2,5
20200118,Tsuen Wan,9,104,12,45,66,16,17,6
20200119,Tsuen Wan,9,88,2,40,52,2,3,4
20200120,Tsuen Wan,9,94,18,54,81,16,2,5
20200121,Tsuen Wan,9,99,2,59,82,44,3,5
20200122,Tsuen Wan,9,83,2,57,67,3,3,4
20200123,Tsuen Wan,9,72,17,43,59,3,19,4
20200124,Tsuen Wan,9,62,17,3,47,3,2,4
20200125,Tsuen Wan,9,54,7,2,3,51,10,4
20200126,Tsuen Wan,9,80,5,13,2,14,5,4
20200127,Tsuen Wan,9,72,8,19,2,3,8,4
20200128,Tsuen Wan,9,58,9,2,2,3,9,5
20200129,Tsuen Wan,9,73,14,3,56,3,15,5
20200130,Tsuen Wan,9,60,2,3,52,51,2,6
20200131,Tsuen Wan,9,74,2,54,77,44,2,6
20200101,Tuen Mun,9,71,2,2,3,45,3,4
20200102,Tuen Mun,9,53,19,43,61,3,3,4
20200103,Tuen Mun,9,92,3,76,2,6,51,8
20200104,Tuen Mun,9,99,3,81,2,6,59,9
20200105,Tuen Mun,9,48,18,2,3,66,2,4
20200106,Tuen Mun,9,55,18,52,66,48,3,4
20200107,Tuen Mun,9,85,2,82,196,9,50,7
20200108,Tuen Mun,9,68,3,56,85,19,58,8
20200109,Tuen Mun,9,81,17,41,47,76,41,4
20200110,Tuen Mun,9,84,2,73,91,3,3,5
20200111,Tuen Mun,9,91,3,81,166,10,40,6
20200112,Tuen Mun,9,101,18,3,63,15,40,7
20200113,Tuen Mun,9,109,2,59,115,10,41,7
20200114,Tuen Mun,9,83,3,65,83,46,46,5
20200115,Tuen Mun,9,70,2,78,117,2,48,5
20200116,Tuen Mun,9,77,2,61,83,3,3,5
20200117,Tuen Mun,9,101,2,3,57,19,49,5
20200118,Tuen Mun,9,102,17,47,79,14,2,6
20200119,Tuen Mun,9,94,2,3,48,2,44,6
